,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
1,Hall K,KR4.7,EDS Technologies,--,Exhibitor,India,," Plot No.68, Shri Prashanthi Sai Towers, Teetos business Centre 4th Floor, 1, Nagarjuna Hills Rd, Banjara Hills, Hyderabad, Telangana 500082"
2,Hall A,AS4.11,Abeyaantrix Solutions Private Limited,--,Exhibitor,India,Picture,"67, 1st Cross Rd, Lal Bahadur Nagar, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560043"
3,Hall A,AS1.11,Rotary Connectors Private Limited,--,Exhibitor,India,Picture,"19, 5th Cross Rd, Rajaji Nagar Industrial Town, Rajajinagar, Bengaluru, Karnataka 560010"
4,"Hall A, Hall A, Hall A, Hall A, Hall A","AS4.5, AS4.4, AS4.3, AS4.2, AS4.1",Aerospace Engineers Pvt Ltd,--,Exhibitor,India,Picture,"The Salem Aeropark 8/63, National Highway-7, Ammapalayam Village, Mallur, Salem-636203, Tamil Nadu, India."
5,Hall A,AS3.11,Elastomeric Engineers,--,Exhibitor,India,Picture,"NH 7, Ammapalayam, Mallur, Sandiyur Attayampatti, Tamil Nadu 636203"
6,"Hall F, Hall F, Hall F, Hall F","FS2.4, FS2.3, FS2.2, FS2.1",Gopalan Aerospace India Private Limited,--,Exhibitor,India,Picture,"Plot No.6-B (Sy.No.85) KIADB Industrial Area Pillagumpe, Chokkahally, Hoskote, Karnataka 562122"
7,"Hall F, Hall F, Hall F","FS2.6, FS2.5, FS4.6",Southfield Coatings Private Limited,--,Exhibitor,India,Picture,"Plot No.102B-106, Hosur - Malur Rd NH 207, 3rd Phase, KIADB Industrial Area, Malur, Malur Rural, Karnataka 563130"
8,Hall A,AS3.13,LOYAL WINGMAN TECHNOLOGIES PRIVATE LIMATED,--,Exhibitor,India,Picture,"Fort, Plot CP-3& CP-4, near TVS Academy, Sipcot Phase II Industrial Complex, Phase-II, Sipcot Ph 2, Hosur, Moranapalli, Tamil Nadu 635130"
9,Hall A,AS3.12,HYPERHORIZON TECHNOLOGIES PRIVATE LIMITED,--,Exhibitor,India,Picture,No Address
10,Hall B,BS5.31,STAR HENTZEN COATINGS PRIVATE LIMITED,--,Exhibitor,India,Picture,"56, M Shetty Marg, Kala Ghoda, Fort, Mumbai, Maharashtra 400023"
11,Hall A,AS1.8,The Society for Aerospace Studies,--,Associate,India,Picture,"Aeronautical Society of India, 13-B, Central, IP Estate, New Delhi, Delhi, 110002"
12,Hall J,JR1.3,Amphenol Interconnect India Pvt Ltd,--,Exhibitor,India,Picture,"Amphenol Interconnect India Pvt. Ltd. 105, Bhosari Industrial Area Pune – 411 026. IN"
13,"Hall C, Hall C","CS1.12, CS1.13",DILABS Systems Private Limited,--,Exhibitor,India,Picture,"5AC-418, 1st Floor, 2nd Stage, Ward 27, 5A Cross Road, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043"
14,Hall B,BR4.2,KALAPURNA STEEL AND ENGG PVT LTD,--,Exhibitor,India,Picture,"Lodha Supremus, KALAPURNA STEEL & ENGG. PVT. LTD. 901/9, Dr Elijah Moses Rd, Worli Naka, Worli, Mumbai, Maharashtra 400013"
15,Hall A,AS1.10,Turbo Cast (India) Pvt. Ltd.,--,Exhibitor,India,Picture,"Survey No. 21, Village:- Biliyala B/h Pan Agri Export Rajkot-Gondal, National Highway, Rajkot, Gujarat 360311"
16,Hall A,AS1.9,Turbo2 Cast Pvt Ltd,--,Exhibitor,India,Picture,"Survey No. 33, Biliyala Opp Biliyala Rajkot-Gondal, National Highway, Rajkot, Gujarat 360311"
17,Hall C,CS3.1,Jergens India Private Limited,--,Exhibitor,India,Picture," Kapurbawdi, Juinagar, Navi Mumbai, Thane, Maharashtra 400601(Permentaly Closed)"
18,Hall A,AS1.3,BlueKei Solutions Pvt Ltd,--,Exhibitor,India,Picture," Office No. 109, Tower 1, WORLD TRADE CENTER, EON Free Zone, Kharadi, Pune, Maharashtra 411014"
19,Hall B,BS5.32,STAR PAINT AND OIL INDUSTRIES,--,Exhibitor,India,Picture,"Crescent Chambers, 56, Tamarind Street, Fort, Mumbai 400 023."
20,Hall H,HS4.1,Accurate Sales and Services Pvt Ltd,--,Exhibitor,India,Picture," 67, Hadapsar Industrial Estate, Hadapsar, Pune, Maharashtra 411013"
