Company Name,Address,Latitude,Longitude,Google Maps Link
"Panasonic Appliances India Co Ltd","N.H.No:5, Sholavaram Village Ponneri Taluk",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Crescent Moulds & Precision Engineering","No.12/16, Poomagal II st Poomagal Nagar Main Rd Ekkatuthangal Poomagal Nagar, Gandhi Nagar",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Knowledge Institute of Technology","KIOT-Campus NH47, Kakapalayam",11.6469616,78.2106958,https://www.google.com/maps?q=11.6469616,78.2106958
"NATIONAL POLYPLAST (INDIA) LTD.","CP6 & CP7 SIPCOT industrial Growth Center Plot 3 PT Sriperumbudur Taluk",12.8386457,79.9452346,https://www.google.com/maps?q=12.8386457,79.9452346
"Focus InTec Engineering & IT Solutions Pvt Ltd.","17/14 Santham colony, Anna Nagar - west extension",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Central Tool Room","The Ministry of Micro, Small and A-5, Focal Point",30.9090157,75.851601,https://www.google.com/maps?q=30.9090157,75.851601
"Euro Labels Industries","No. 47-C, South Reddy Athipet, Ambattur",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Watertec India Pvt.ltd. Unit IV","1/512-B,Avinashi Main Road, Neelambur",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Shakthi Tech Manufacturing India Private Ltd","102/2, Perumal Kovil Vadavalli",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Schneider Prototyping India Pvt. Ltd","R. S. No. 266/2, Main Road, Odiampet, Villianur",11.9063633,79.705132,https://www.google.com/maps?q=11.9063633,79.705132
"DONG-A INDIA AUTOMOTIVE PVT. LTD.","OLD NO. 101, NEW NO. 55, THANDALAM VILLAGE, NH 4, MADRAS BANGALORE HIGHWAY",12.9647163,79.9839686,https://www.google.com/maps?q=12.9647163,79.9839686
"Indian Institute of Technology Madras","CENTRE FOR INDUSTRIAL CONSULTANCY AND SPONSORED RESEARCH INDIAN INSTITUTE OF TECHNOLOGY",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"RAP Technologies Private Limited","#7&8, Citizen Avenue, 4th Main Road Mahaveer Nagar, Lawspet",11.9063633,79.705132,https://www.google.com/maps?q=11.9063633,79.705132
"Visuthan Precision engineering","No.29 B, Yathawal Pattravakkam",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Shubha Sri Tools","Plot No 125, Perungudi Behind Perungudi Bus Stop Industrial Estate",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Bannariamman Educational Trust","1212,Trichy Road (Near Sungam Circle)",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Polyene General Industries Pvt Ltd","No. A-11 & A-12 T. V. K. Industrial Estate, Guindy",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Micromill CNC Centre","No A 9 IIIrd Phase Guindy Industrial Estate",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Government College Of Engineering","Srirangam",10.8573308,78.6930848,https://www.google.com/maps?q=10.8573308,78.6930848
"IDC Engineering India (P) Ltd","Plot No.27/A- 40 SIPCOT IT Park, Padur Post",12.8235752,80.2221501,https://www.google.com/maps?q=12.8235752,80.2221501
"Harita Techserv Ltd.","9, 2nd Floor, Seshadri Rd. Alwarpet",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Tractors And Farm Equipment Limited","Huzur Gardens, Sembium",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Ford Motor Pvt. Ltd.","Elcot Sez, Sholinganallur",12.9052918,80.2188859,https://www.google.com/maps?q=12.9052918,80.2188859
"Madras Institute of Technology Anna University Chennai","MIT Road, Chromepet, Radha Nagar",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"GOVERNMENT COLLEGE OF ENGINEERING TIRUNELVELI","TIRUNELVELI",8.7284271,77.7112925,https://www.google.com/maps?q=8.7284271,77.7112925
"SRI BALAJI ASSEMBLIES & PLASTICS PVT.LTD","No-176,VENGAIVASAL MAIN ROAD GOWRIVAKKAM",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"Sri Ramakrishna Institue of Technology","Pachapalayam, Perur Chettupalayam",11.0018115,76.9628425,https://www.google.com/maps?q=11.0018115,76.9628425
"Rane TRW Steering Systems Private Limited-Occupant Safety Division","48th KM, NH 45, GST Road, Singaperumal Koil",12.9647163,79.9839686,https://www.google.com/maps?q=12.9647163,79.9839686
"ThinkInnov Solution Technologies Pvt Ltd","Unit 1, The Canopy, Mahindra World",12.7306546,80.000438,https://www.google.com/maps?q=12.7306546,80.000438
"Sivaramakrishna Forgings Private Limited","Plot No 125-128 Sidco Industrial, Thiruvaddakm",13.0836939,80.270186,https://www.google.com/maps?q=13.0836939,80.270186
"DYNASPEDE INTEGRATED SYSTEMS PRIVATE LIMITED","136-A, Sipcot Industrial Complex",12.7183361,77.8229481,https://www.google.com/maps?q=12.7183361,77.8229481
"PERUMAL ENTERPRISES","Plot no.8,VIP Nagar Phase-V Singaperumal Koil",12.6840886,79.9836371,https://www.google.com/maps?q=12.6840886,79.9836371
"CNH MOULDS PVT LTD","A45/A, SIPCOT Industrial Growth Center Oragadam, Sriperumbudur",12.8796051,79.7042762,https://www.google.com/maps?q=12.8796051,79.7042762
"FOXCONN HON HAI TECHNOLOGY INDIA MEGA DEVELOPMENT PRIVATE LIMITED","A09-CDL1R017 Plot No:M2/A,andM2/B Sipcot Industrial Park,Phase-II Hi SEZ,Chennai-Bangalore Highway",12.88211,79.8063903,https://www.google.com/maps?q=12.88211,79.8063903
